State,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Alaska,158.2,153.6,145.3,37.39,12.45,12.61,7.027,0.068,1.012,0.788,0.589
Arizona,445.5,472.5,449.8,531.6,255.6,134.9,29.54,0.0,0.0,0.0,0.0
California,12228.0,13776.0,12822.0,9754.0,7752.0,6079.0,5840.0,5385.0,5585.0,4883.0,4262.0
Colorado,7441.0,7351.0,7204.0,5969.0,5200.0,3452.0,3164.0,3221.0,1292.0,865.5,776.2
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delaware,4.923,4.705,4.458,3.638,4.825,2.556,0.0,0.0,0.0,0.0,0.0
Hawaii,601.3,585.3,503.3,378.2,340.8,261.1,251.4,240.0,238.2,79.674,6.632
Idaho,2457.0,2778.0,2460.0,1891.0,1307.0,440.7,313.4,207.5,172.3,169.6,0.0
Illinois,10733.0,10077.0,9625.0,7727.0,6213.0,4454.0,2820.0,2337.0,664.4,254.6,141.15
Indiana,4516.0,3495.0,3481.0,3210.0,3285.0,2934.0,1403.0,238.4,0.0,0.0,0.0
Iowa,17878.0,16295.0,15568.0,14032.0,10709.0,9170.0,7421.0,4084.0,2757.0,2318.0,1647.0
Kansas,10927.0,10844.0,9433.0,5195.0,3720.0,3405.0,2863.0,1759.0,1153.0,991.9,425.8
Maine,1273.0,1095.0,1048.0,886.9,706.6,499.2,298.6,131.6,99.07,0.0,0.0
Maryland,433.5,323.5,321.7,321.7,270.7,1.494,0.0,0.0,0.0,0.0,0.0
Massachusetts,220.1,224.0,204.9,89.67,61.38,22.07,5.956,3.672,0.0,0.0,0.0
Michigan,4778.0,3875.0,2800.0,1132.0,456.5,360.3,300.2,141.2,2.723,2.212,1.848
Minnesota,9797.0,9060.0,8259.0,7615.0,6726.0,4792.0,5053.0,4355.0,2639.0,2055.0,1582.0
Missouri,1034.0,1131.0,1167.0,1245.0,1178.0,925.5,499.4,203.3,0.0,0.0,0.0
Montana,1962.0,1966.0,1755.0,1262.0,1265.0,930.2,820.9,593.1,495.8,436.0,0.0
Nebraska,3154.0,2736.0,1802.0,1284.0,1051.0,421.6,382.6,214.2,216.8,261.2,96.61
Nevada,309.7,300.1,250.5,128.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Hampshire,419.2,416.8,389.2,208.7,66.09,75.69,62.48,10.32,0.0,0.0,0.0
New Jersey,22.14,11.9,10.88,11.57,10.52,12.65,20.92,20.89,20.41,15.99,0.0
New Mexico,2067.0,2263.0,2193.0,2226.0,2104.0,1832.0,1547.0,1643.0,1393.0,1255.0,794.6
New York,3956.0,3971.0,3539.0,2680.0,2828.0,2596.0,2266.0,1251.0,833.5,655.4,103.0
North Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Dakota,6530.0,6349.0,5519.0,5275.0,5236.0,4096.0,2998.0,1693.0,620.8,369.5,220.3
Ohio,1206.0,1152.0,1146.0,985.5,198.4,12.58,14.11,15.08,14.75,14.4,13.27
Oklahoma,14018.0,11862.0,11162.0,8158.0,5605.0,3808.0,2698.0,2358.0,1849.0,1712.0,847.8
Oregon,6675.0,7580.0,7456.0,6343.0,4775.0,3920.0,3470.0,2575.0,1247.0,931.2,734.3
Pennsylvania,3352.0,3584.0,3352.0,2129.0,1794.0,1854.0,1075.0,729.4,470.0,361.1,284.2
Rhode Island,14.77,7.025,2.59,1.38,2.912,3.124,0.0,0.0,0.0,0.0,0.0
South Dakota,2481.0,2916.0,2688.0,2915.0,2668.0,1372.0,421.0,145.1,150.0,149.0,158.1
Tennessee,45.84,51.14,46.74,47.49,53.14,40.57,51.75,50.12,49.94,54.6,3.339
Texas,44959.0,39371.0,35874.0,32214.0,30548.0,26251.0,20026.0,16225.0,9006.0,6671.0,4237.0
Utah,621.4,664.8,539.8,703.9,572.8,447.7,159.5,23.9,0.0,0.0,0.0
Vermont,322.7,305.6,236.0,106.9,33.18,13.89,11.59,10.24,10.51,10.69,11.49
Washington,7101.0,7264.0,7004.0,6600.0,6262.0,4745.0,3572.0,3657.0,2438.0,1038.0,498.5
West Virginia,1376.0,1451.0,1387.0,1286.0,1103.0,939.2,742.4,391.9,167.6,173.8,153.9
Wisconsin,1641.0,1609.0,1558.0,1558.0,1188.0,1088.0,1052.0,487.1,109.3,101.4,92.54
Wyoming,3768.0,4420.0,4433.0,4369.0,4612.0,3247.0,2226.0,962.5,754.9,759.1,717.3
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
